total_bill,tip,sex,smoker,day,time,size,tips_range,Weighted_bill
16.99,1.01,Female,No,Sun,Dinner,2,0.059446733,0.058858152
10.34,1.66,Male,No,Sun,Dinner,3,0.160541586,0.096711799
21.01,3.5,Male,No,Sun,Dinner,3,0.166587339,0.047596383
23.68,3.31,Male,No,Sun,Dinner,2,0.139780405,0.04222973
24.59,3.61,Female,No,Sun,Dinner,4,0.146807645,0.040666938
25.29,4.71,Male,No,Sun,Dinner,4,0.18623962,0.039541321
8.77,2,Male,No,Sun,Dinner,2,0.228050171,0.114025086
26.88,3.12,Male,No,Sun,Dinner,4,0.116071429,0.037202381
15.04,1.96,Male,No,Sun,Dinner,2,0.130319149,0.066489362
14.78,3.23,Male,No,Sun,Dinner,2,0.218538566,0.067658999
10.27,1.71,Male,No,Sun,Dinner,2,0.166504382,0.097370983
35.26,5,Female,No,Sun,Dinner,4,0.141803744,0.028360749
15.42,1.57,Male,No,Sun,Dinner,2,0.101815824,0.064850843
18.43,3,Male,No,Sun,Dinner,4,0.162778079,0.05425936
14.83,3.02,Female,No,Sun,Dinner,2,0.203641268,0.067430883
21.58,3.92,Male,No,Sun,Dinner,2,0.181649676,0.046339203
10.33,1.67,Female,No,Sun,Dinner,3,0.161665053,0.096805421
16.29,3.71,Male,No,Sun,Dinner,3,0.227747084,0.061387354
16.97,3.5,Female,No,Sun,Dinner,3,0.206246317,0.058927519
20.65,3.35,Male,No,Sat,Dinner,3,0.162227603,0.04842615
17.92,4.08,Male,No,Sat,Dinner,2,0.227678571,0.055803571
20.29,2.75,Female,No,Sat,Dinner,2,0.135534746,0.049285362
15.77,2.23,Female,No,Sat,Dinner,2,0.141407736,0.063411541
39.42,7.58,Male,No,Sat,Dinner,4,0.192288179,0.025367834
19.82,3.18,Male,No,Sat,Dinner,2,0.160443996,0.050454087
17.81,2.34,Male,No,Sat,Dinner,4,0.131386861,0.056148231
13.37,2,Male,No,Sat,Dinner,2,0.149588631,0.074794316
12.69,2,Male,No,Sat,Dinner,2,0.157604413,0.078802206
21.7,4.3,Male,No,Sat,Dinner,2,0.198156682,0.046082949
19.65,3,Female,No,Sat,Dinner,2,0.152671756,0.050890585
9.55,1.45,Male,No,Sat,Dinner,2,0.151832461,0.104712042
18.35,2.5,Male,No,Sat,Dinner,4,0.136239782,0.054495913
15.06,3,Female,No,Sat,Dinner,2,0.199203187,0.066401062
20.69,2.45,Female,No,Sat,Dinner,4,0.118414693,0.048332528
17.78,3.27,Male,No,Sat,Dinner,2,0.183914511,0.05624297
24.06,3.6,Male,No,Sat,Dinner,3,0.149625935,0.04156276
16.31,2,Male,No,Sat,Dinner,3,0.122624157,0.061312078
16.93,3.07,Female,No,Sat,Dinner,3,0.181334908,0.059066745
18.69,2.31,Male,No,Sat,Dinner,3,0.123595506,0.053504548
31.27,5,Male,No,Sat,Dinner,3,0.159897665,0.031979533
16.04,2.24,Male,No,Sat,Dinner,3,0.139650873,0.06234414
17.46,2.54,Male,No,Sun,Dinner,2,0.145475372,0.057273769
13.94,3.06,Male,No,Sun,Dinner,2,0.219512195,0.071736011
9.68,1.32,Male,No,Sun,Dinner,2,0.136363636,0.103305785
30.4,5.6,Male,No,Sun,Dinner,4,0.184210526,0.032894737
18.29,3,Male,No,Sun,Dinner,2,0.164024057,0.054674686
22.23,5,Male,No,Sun,Dinner,2,0.224921278,0.044984256
32.4,6,Male,No,Sun,Dinner,4,0.185185185,0.030864198
28.55,2.05,Male,No,Sun,Dinner,3,0.071803853,0.03502627
18.04,3,Male,No,Sun,Dinner,2,0.166297118,0.055432373
12.54,2.5,Male,No,Sun,Dinner,2,0.199362041,0.079744817
10.29,2.6,Female,No,Sun,Dinner,2,0.252672498,0.09718173
34.81,5.2,Female,No,Sun,Dinner,4,0.149382361,0.028727377
9.94,1.56,Male,No,Sun,Dinner,2,0.15694165,0.100603622
25.56,4.34,Male,No,Sun,Dinner,4,0.169796557,0.039123631
19.49,3.51,Male,No,Sun,Dinner,2,0.180092355,0.051308363
38.01,3,Male,Yes,Sat,Dinner,4,0.078926598,0.026308866
26.41,1.5,Female,No,Sat,Dinner,2,0.056796668,0.037864445
11.24,1.76,Male,Yes,Sat,Dinner,2,0.15658363,0.088967972
48.27,6.73,Male,No,Sat,Dinner,4,0.139424073,0.020716801
20.29,3.21,Male,Yes,Sat,Dinner,2,0.158206013,0.049285362
13.81,2,Male,Yes,Sat,Dinner,2,0.144822592,0.072411296
11.02,1.98,Male,Yes,Sat,Dinner,2,0.179673321,0.090744102
18.29,3.76,Male,Yes,Sat,Dinner,4,0.205576818,0.054674686
17.59,2.64,Male,No,Sat,Dinner,3,0.150085276,0.056850483
20.08,3.15,Male,No,Sat,Dinner,3,0.15687251,0.049800797
16.45,2.47,Female,No,Sat,Dinner,2,0.150151976,0.060790274
3.07,1,Female,Yes,Sat,Dinner,1,0.325732899,0.325732899
20.23,2.01,Male,No,Sat,Dinner,2,0.09935739,0.049431537
15.01,2.09,Male,Yes,Sat,Dinner,2,0.139240506,0.066622252
12.02,1.97,Male,No,Sat,Dinner,2,0.163893511,0.083194676
17.07,3,Female,No,Sat,Dinner,3,0.175746924,0.058582308
26.86,3.14,Female,Yes,Sat,Dinner,2,0.116902457,0.037230082
25.28,5,Female,Yes,Sat,Dinner,2,0.19778481,0.039556962
14.73,2.2,Female,No,Sat,Dinner,2,0.149355058,0.067888663
10.51,1.25,Male,No,Sat,Dinner,2,0.118934348,0.095147479
17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875,0.055803571
27.2,4,Male,No,Thur,Lunch,4,0.147058824,0.036764706
22.76,3,Male,No,Thur,Lunch,2,0.131810193,0.043936731
17.29,2.71,Male,No,Thur,Lunch,2,0.156737999,0.0578369
